,range,count,Frequency1,range2,count2,Frequency2
305,"(18300, 18360]",1,0.016666666666666666,"(18300, 18360]",1,0.016666666666666666
306,"(18360, 18420]",256,4.266666666666667,"(18360, 18420]",37,0.6166666666666667
307,"(18420, 18480]",325,5.416666666666667,"(18420, 18480]",42,0.7
308,"(18480, 18540]",6,0.1,"(18480, 18540]",0,0.0
309,"(18540, 18600]",421,7.016666666666667,"(18540, 18600]",75,1.25
310,"(18600, 18660]",905,15.083333333333334,"(18600, 18660]",117,1.95
311,"(18660, 18720]",403,6.716666666666667,"(18660, 18720]",86,1.4333333333333333
312,"(18720, 18780]",512,8.533333333333333,"(18720, 18780]",21,0.35
313,"(18780, 18840]",323,5.383333333333334,"(18780, 18840]",38,0.6333333333333333
314,"(18840, 18900]",239,3.9833333333333334,"(18840, 18900]",37,0.6166666666666667
315,"(18900, 18960]",565,9.416666666666666,"(18900, 18960]",57,0.95
316,"(18960, 19020]",227,3.783333333333333,"(18960, 19020]",17,0.2833333333333333
317,"(19020, 19080]",204,3.4,"(19020, 19080]",176,2.933333333333333
318,"(19080, 19140]",282,4.7,"(19080, 19140]",154,2.566666666666667
319,"(19140, 19200]",30,0.5,"(19140, 19200]",107,1.7833333333333334
320,"(19200, 19260]",133,2.216666666666667,"(19200, 19260]",97,1.6166666666666667
321,"(19260, 19320]",257,4.283333333333333,"(19260, 19320]",58,0.9666666666666667
322,"(19320, 19380]",263,4.383333333333334,"(19320, 19380]",173,2.8833333333333333
323,"(19380, 19440]",326,5.433333333333334,"(19380, 19440]",139,2.316666666666667
324,"(19440, 19500]",243,4.05,"(19440, 19500]",60,1.0
325,"(19500, 19560]",167,2.783333333333333,"(19500, 19560]",97,1.6166666666666667
326,"(19560, 19620]",109,1.8166666666666667,"(19560, 19620]",92,1.5333333333333334
327,"(19620, 19680]",87,1.45,"(19620, 19680]",79,1.3166666666666667
328,"(19680, 19740]",298,4.966666666666667,"(19680, 19740]",306,5.1
329,"(19740, 19800]",82,1.3666666666666667,"(19740, 19800]",71,1.1833333333333333
330,"(19800, 19860]",293,4.883333333333334,"(19800, 19860]",202,3.3666666666666667
331,"(19860, 19920]",325,5.416666666666667,"(19860, 19920]",218,3.6333333333333333
332,"(19920, 19980]",322,5.366666666666666,"(19920, 19980]",140,2.3333333333333335
333,"(19980, 20040]",225,3.75,"(19980, 20040]",97,1.6166666666666667
334,"(20040, 20100]",568,9.466666666666667,"(20040, 20100]",33,0.55
335,"(20100, 20160]",88,1.4666666666666666,"(20100, 20160]",23,0.38333333333333336
336,"(20160, 20220]",473,7.883333333333334,"(20160, 20220]",86,1.4333333333333333
337,"(20220, 20280]",272,4.533333333333333,"(20220, 20280]",55,0.9166666666666666
338,"(20280, 20340]",275,4.583333333333333,"(20280, 20340]",133,2.216666666666667
339,"(20340, 20400]",260,4.333333333333333,"(20340, 20400]",27,0.45
340,"(20400, 20460]",0,0.0,"(20400, 20460]",0,0.0
341,"(20460, 20520]",0,0.0,"(20460, 20520]",0,0.0
342,"(20520, 20580]",204,3.4,"(20520, 20580]",131,2.183333333333333
343,"(20580, 20640]",165,2.75,"(20580, 20640]",121,2.0166666666666666
344,"(20640, 20700]",129,2.15,"(20640, 20700]",73,1.2166666666666666
345,"(20700, 20760]",164,2.7333333333333334,"(20700, 20760]",100,1.6666666666666667
346,"(20760, 20820]",98,1.6333333333333333,"(20760, 20820]",31,0.5166666666666667
